====================================================================================================
MTL-TLV A-H COMPLETE TRAINING LOG
====================================================================================================
Run start time       : 2026-09-08T15:45:52+08:00
Operating system     : Windows-10-10.0.26200-SP0
Python               : 3.9.25
PyTorch              : 2.1.1+cu118
CUDA runtime         : 11.8
cuDNN                : 8700
Device               : cuda:0
GPU                  : NVIDIA GeForce RTX 4090 D
GPU memory           : 23.99 GiB
----------------------------------------------------------------------------------------------------
CUBLAS_WORKSPACE_CONFIG: :4096:8
cudnn.deterministic  : True
cudnn.benchmark      : False
CUDA matmul TF32     : False
cuDNN TF32           : False
deterministic algorithms: True
====================================================================================================
Starting SMAC hyperparameter optimization
========================================================================================
SMAC trial 1/10 | LR=0.01 | WD=1e-06 | loss_weight=0.1
  Epoch 048/100 | Val Loss=0.8173 | Acc=96.68% | Precision=97.20% | Recall=93.63% | MAE=8.9633
  Epoch 049/100 | Val Loss=0.7530 | Acc=97.31% | Precision=97.73% | Recall=94.85% | MAE=8.3920
  Epoch 050/100 | Val Loss=0.7523 | Acc=96.05% | Precision=92.13% | Recall=97.55% | MAE=8.0050
  Epoch 051/100 | Val Loss=1.9970 | Acc=96.95% | Precision=97.95% | Recall=93.63% | MAE=25.5400
  Epoch 052/100 | Val Loss=0.6908 | Acc=96.68% | Precision=94.06% | Recall=97.06% | MAE=6.6077
  Epoch 053/100 | Val Loss=0.7584 | Acc=96.05% | Precision=97.64% | Recall=91.42% | MAE=6.6400
  Epoch 054/100 | Val Loss=1.1616 | Acc=97.22% | Precision=98.46% | Recall=93.87% | MAE=13.1675
  Epoch 055/100 | Val Loss=0.7829 | Acc=97.22% | Precision=96.77% | Recall=95.59% | MAE=7.4382
  Epoch 056/100 | Val Loss=1.2875 | Acc=96.95% | Precision=97.95% | Recall=93.63% | MAE=15.8983
  Epoch 057/100 | Val Loss=0.7134 | Acc=97.04% | Precision=98.20% | Recall=93.63% | MAE=6.6054
  Epoch 058/100 | Val Loss=0.7486 | Acc=96.68% | Precision=94.27% | Recall=96.81% | MAE=6.8794
  Epoch 059/100 | Val Loss=0.7265 | Acc=96.68% | Precision=93.85% | Recall=97.30% | MAE=6.9568
  Epoch 060/100 | Val Loss=0.7819 | Acc=97.49% | Precision=96.57% | Recall=96.57% | MAE=7.3065
  Epoch 061/100 | Val Loss=0.7151 | Acc=97.04% | Precision=96.30% | Recall=95.59% | MAE=6.1488
  Epoch 062/100 | Val Loss=0.7925 | Acc=96.59% | Precision=96.02% | Recall=94.61% | MAE=8.7577
  Epoch 063/100 | Val Loss=0.8639 | Acc=97.76% | Precision=96.82% | Recall=97.06% | MAE=9.7049
  Epoch 064/100 | Val Loss=0.7024 | Acc=97.49% | Precision=97.50% | Recall=95.59% | MAE=5.6103
  Epoch 065/100 | Val Loss=0.7680 | Acc=97.76% | Precision=97.28% | Recall=96.57% | MAE=7.4954
  Epoch 066/100 | Val Loss=1.1859 | Acc=93.90% | Precision=87.12% | Recall=97.79% | MAE=11.8906
  Epoch 067/100 | Val Loss=1.0361 | Acc=97.31% | Precision=97.01% | Recall=95.59% | MAE=10.1641
  Epoch 068/100 | Val Loss=0.8285 | Acc=96.95% | Precision=96.98% | Recall=94.61% | MAE=7.0757
  Epoch 069/100 | Val Loss=0.7620 | Acc=97.67% | Precision=97.28% | Recall=96.32% | MAE=6.6858
  Epoch 070/100 | Val Loss=1.2164 | Acc=96.59% | Precision=95.57% | Recall=95.10% | MAE=12.8093
  Epoch 071/100 | Val Loss=1.0136 | Acc=97.22% | Precision=98.71% | Recall=93.63% | MAE=10.4387
  Epoch 072/100 | Val Loss=0.9277 | Acc=96.68% | Precision=93.65% | Recall=97.55% | MAE=9.5193
  Epoch 073/100 | Val Loss=0.6524 | Acc=95.43% | Precision=90.85% | Recall=97.30% | MAE=7.0735
  Epoch 074/100 | Val Loss=0.9737 | Acc=97.76% | Precision=97.05% | Recall=96.81% | MAE=10.1521
  Epoch 075/100 | Val Loss=1.0298 | Acc=96.14% | Precision=98.41% | Recall=90.93% | MAE=9.2658
  Epoch 076/100 | Val Loss=0.6902 | Acc=95.87% | Precision=92.09% | Recall=97.06% | MAE=5.4658
  Epoch 077/100 | Val Loss=0.5524 | Acc=96.23% | Precision=92.56% | Recall=97.55% | MAE=5.3675
  Epoch 078/100 | Val Loss=0.8848 | Acc=95.61% | Precision=92.04% | Recall=96.32% | MAE=8.0164
  Epoch 079/100 | Val Loss=0.7478 | Acc=97.22% | Precision=98.21% | Recall=94.12% | MAE=5.6935
  Epoch 080/100 | Val Loss=1.0088 | Acc=97.49% | Precision=96.34% | Recall=96.81% | MAE=9.8314
  Epoch 081/100 | Val Loss=0.8087 | Acc=97.04% | Precision=94.75% | Recall=97.30% | MAE=6.7492
  Epoch 082/100 | Val Loss=1.0145 | Acc=93.54% | Precision=98.55% | Recall=83.58% | MAE=6.2047
  Epoch 083/100 | Val Loss=0.8215 | Acc=96.32% | Precision=97.17% | Recall=92.65% | MAE=6.4522
  Epoch 084/100 | Val Loss=0.7372 | Acc=97.49% | Precision=96.80% | Recall=96.32% | MAE=6.6780
  Epoch 085/100 | Val Loss=0.6484 | Acc=96.77% | Precision=95.81% | Recall=95.34% | MAE=5.2045
